revision,name,date,time,number of lines,comment,added,modified,deleted,changes
r1495232,Nicky,22/07/2015,14:04:49,2,PHONE-401,0,1,0,1
r1494629,Thomas,21/07/2015,14:29:13,1,Remove wizard images,0,1,16,17
r1494572,Jimmy,21/07/2015,13:09:10,1,Added migration info popup,0,1,0,1
r1494569,Jimmy,21/07/2015,12:57:12,1,Added migration info popup,0,4,0,4
r1494523,Jimmy,21/07/2015,11:54:34,1,Added String overload,0,1,0,1
r1494517,Jimmy,21/07/2015,11:45:38,1,Added migration info parsing,0,2,0,2
r1494495,Jimmy,21/07/2015,11:20:23,1,Added qa config,1,1,0,2
r1494003,Jimmy,20/07/2015,12:08:48,1,PHONE-392,2,3,0,5
r1493570,Jimmy,17/07/2015,13:54:22,1,Modified test case,0,1,0,1
r1493569,Jimmy,17/07/2015,13:49:52,1,Updated migration classes,0,2,0,2
r1493563,Jimmy,17/07/2015,13:28:41,1,Added migration class and tests,0,1,0,1
r1493562,Jimmy,17/07/2015,13:27:38,1,Added migration class and tests,4,0,0,4
r1493503,/OU=Domain Control Validated/CN=svn.company.net,17/07/2015,11:58:34,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1493417,Jimmy,17/07/2015,10:14:16,1,Added configuration for intro screen,0,22,0,22
r1493381,Thomas,17/07/2015,08:39:34,1,Fixed release build.,0,1,0,1
r1493269,Nicky,16/07/2015,19:32:25,2,PHONE-360,0,1,0,1
r1493202,Thomas,16/07/2015,16:48:08,1,Removed translatable flag,0,1,0,1
r1493081,Jimmy,16/07/2015,14:47:09,1,PHONE-354,0,1,0,1
r1493067,Alan,16/07/2015,14:37:37,2,PHONE-350,0,5,0,5
r1493044,Jimmy,16/07/2015,14:02:49,1,PHONE-348,0,2,0,2
r1493036,Jimmy,16/07/2015,13:51:17,1,PHONE-348,0,3,0,3
r1493028,Jimmy,16/07/2015,13:41:50,1,PHONE-348,2,4,0,6
r1492956,Alan,16/07/2015,11:51:46,2,PHONE-349,0,3,0,3
r1492955,Alan,16/07/2015,11:48:20,2,PHONE-351,0,1,0,1
r1492513,/OU=Domain Control Validated/CN=svn.company.net,15/07/2015,15:46:38,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1492481,Alan,15/07/2015,15:25:12,1,Phone Locker changes for 15.2 Branch,3,6,0,9
r1492470,Jimmy,15/07/2015,15:08:50,1,Partial code cleanup,0,2,0,2
r1492457,Jimmy,15/07/2015,15:02:58,1,Partial code cleanup,0,1,0,1
r1492455,Jimmy,15/07/2015,15:00:04,1,Partial code cleanup,0,3,0,3
r1492414,Jimmy,15/07/2015,14:04:56,1,Revved,0,1,0,1
r1492409,Jimmy,15/07/2015,13:55:46,1,Added dev build variant,1,1,0,2
r1492405,/OU=Domain Control Validated/CN=svn.company.net,15/07/2015,13:49:47,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1492402,Jimmy,15/07/2015,13:48:45,1,Modified mail template,0,1,0,1
r1492399,Jimmy,15/07/2015,13:42:17,1,Prep for release,0,1,0,1
r1492395,Jimmy,15/07/2015,13:30:01,1,Code cleanup,0,2,0,2
r1492330,Jimmy,15/07/2015,11:55:03,1,Plan management,0,1,0,1
r1492308,Jimmy,15/07/2015,11:33:28,1,Added boolean to upgrade,0,4,0,4
r1491912,Jimmy,14/07/2015,14:56:43,1,Partial code cleanup,0,10,0,10
r1491892,Jimmy,14/07/2015,14:40:44,1,Partial code cleanup,0,5,0,5
r1491875,Jimmy,14/07/2015,14:18:59,1,Partial code cleanup,0,5,0,5
r1491866,Jimmy,14/07/2015,14:06:22,1,Partial code clean,0,4,0,4
r1491858,Jimmy,14/07/2015,13:49:51,1,Removed dead code,0,6,0,6
r1491856,Jimmy,14/07/2015,13:42:45,1,modified chsettings content provider for at&t,0,1,0,1
r1491802,Jimmy,14/07/2015,12:25:40,1,Authentication for locker,0,2,0,2
r1491445,Thomas,13/07/2015,16:29:13,1,Removed Ril classes,0,1,0,1
r1491442,Thomas,13/07/2015,16:22:25,1,Removed Ril classes,0,0,2,2
r1491435,Thomas,13/07/2015,16:17:26,1,Correct url and tag name for branch tagging,0,1,0,1
r1491428,Thomas,13/07/2015,16:12:14,1,Use 15.2.30.x versioning scheme for branch,0,1,0,1
r1491425,Thomas,13/07/2015,16:08:55,1,Removed old TV functionality,0,1,0,1
r1491421,Thomas,13/07/2015,16:03:32,1,Removed old TV functionality,0,0,1,1
r1491420,Thomas,13/07/2015,16:00:35,1,Removed old TV functionality,0,21,2,23
r1491333,Jimmy,13/07/2015,13:59:14,1,directed the auth callback to point at the AtpAuthActivity class,0,1,0,1
r1491323,Jimmy,13/07/2015,13:48:50,1,Added application identifier to auth call,0,2,0,2
r1491315,Jimmy,13/07/2015,13:06:21,1,Added web UI for auth,1,4,0,5
r1491272,Thomas,13/07/2015,11:52:09,1,Added ignorance,0,1,0,1
r1491254,Alan,13/07/2015,11:32:02,1,icon renamed as ic_launcher.png,6,0,6,12
r1491229,Jimmy,13/07/2015,11:03:48,1,"Added configuration for web auth, plan management and logout",0,20,0,20
r1491146,Thomas,13/07/2015,09:21:48,1,Rename folder,1,0,1,2
