revision,name,date,time,number of lines,comment,added,modified,deleted,changes
r1532755,Thomas,15/10/2015,16:50:56,2,FTRPC-118: Frontier Android Handset || About screen is loading forever,0,1,0,1
r1532018,Jimmy,14/10/2015,14:51:25,1,Widget update,1,9,1,11
r1532015,Jimmy,14/10/2015,14:49:17,1,Widget update,0,1,0,1
r1531912,Jimmy,14/10/2015,12:50:27,1,Re enabled client modules,0,1,0,1
r1531903,Jimmy,14/10/2015,12:40:19,1,Spike for app removal,9,14,6,29
r1531479,Thomas,13/10/2015,15:54:58,4,Merge from android-15.2-solutions-att,0,7,0,7
r1530186,/OU=Domain Control Validated/CN=svn.company.net,09/10/2015,14:34:54,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1530155,Thomas,09/10/2015,13:58:14,1,Bumped version to 15.2.30.18,0,1,0,1
r1530104,Jimmy,09/10/2015,12:52:44,1,Disabled at&t module,0,1,0,1
r1530087,Jimmy,09/10/2015,12:30:40,1,Lint fix,0,1,0,1
r1530077,Jimmy,09/10/2015,12:10:54,1,Added new homescreen,66,6,9,82
r1530022,Thomas,09/10/2015,11:17:08,1,Added lint ignores,0,1,0,1
r1530019,Thomas,09/10/2015,11:09:59,1,Added lint ignores,0,1,0,1
r1529976,Thomas,09/10/2015,10:13:54,1,Updated strings,0,1,0,1
r1529934,Thomas,09/10/2015,09:24:07,1,Revert back some assets,12,0,0,12
r1529923,Thomas,09/10/2015,09:06:45,1,"Added qa and qa_wl build types, renamed app.",1,3,0,4
r1529916,Thomas,09/10/2015,08:55:33,1,Updated assets,0,2,0,2
r1529913,Thomas,09/10/2015,08:53:15,1,Removed unused resources,0,0,52,52
r1529617,Thomas,08/10/2015,14:55:59,2,Set prod end point:,0,1,0,1
r1529611,Thomas,08/10/2015,14:49:55,1,Enabled client-frt client,0,4,1,5
r1529597,Thomas,08/10/2015,14:38:16,1,Copy to android-15.2-solutions,1,0,0,1
r1528989,Thomas,07/10/2015,15:19:21,1,PHONE-1420: CLONE - [15.2]The first file thumbnail is not dispalyed properly in landscape mode,0,1,0,1
r1528947,Thomas,07/10/2015,14:44:23,1,Updated more strings,0,1,0,1
r1528925,Thomas,07/10/2015,14:23:29,1,Simplified app versioning,0,2,0,2
r1528923,Thomas,07/10/2015,14:19:38,1,PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon,0,1,0,1
r1528922,Thomas,07/10/2015,14:19:14,1,PHONE-1416: ATT Android || Screen blinks twice when user taps on App icon,0,4,0,4
r1528797,Thomas,07/10/2015,11:06:28,1,Remove att permission from manifest,0,1,0,1
r1528782,Thomas,07/10/2015,10:45:54,2,Merged from trunk:,0,13,0,13
r1528452,Thomas,06/10/2015,16:15:27,1,Enabled client-amx client,0,1,0,1
r1528449,Thomas,06/10/2015,16:07:38,1,"Fixed NPE for amx client, changed amx client name",0,2,0,2
r1528422,Thomas,06/10/2015,15:36:53,1,Added ignores,0,1,0,1
r1528416,Thomas,06/10/2015,15:28:51,1,Implements HelpFragment.Callback,0,1,0,1
r1528414,Thomas,06/10/2015,15:27:59,1,Added help_fragment_icon.png,1,0,0,1
r1528412,Thomas,06/10/2015,15:26:10,1,Added help fragment colors,0,1,0,1
r1528411,Thomas,06/10/2015,15:23:31,2,Merged from android-15.2-solutions-amx,0,1,0,1
r1528409,Thomas,06/10/2015,15:21:35,1,Merge fragment_help.xml from amx branch,1,0,0,1
r1528404,Thomas,06/10/2015,15:18:18,1,Merge HelpFragment.java from amx branch,1,0,0,1
r1528397,Thomas,06/10/2015,15:13:00,1,Merged from android-15.2-solutions-amx branch,1,0,0,1
r1527179,Thomas,02/10/2015,16:23:05,2,Merged from android-15.2-solutions-att,0,1,0,1
r1527029,Thomas,02/10/2015,13:24:26,2,Merged from android-15.2-solutions-att,0,2,0,2
r1526939,Thomas,02/10/2015,10:15:40,2,Merged from android-15.2-solutions-att,0,11,0,11
r1526558,Thomas,01/10/2015,13:25:23,1,PHONE-1377: Phone 2.0 - All files - Folder - Get info - Failure,0,1,0,1
r1526549,Jimmy,01/10/2015,13:18:27,1,Added lint suppress,0,1,0,1
r1526501,Jimmy,01/10/2015,12:29:00,1,Added handling for R2G,0,10,0,10
r1525171,Jimmy,29/09/2015,14:08:40,1,Added handling for R2G,0,10,0,10
r1525124,Jimmy,29/09/2015,12:49:38,1,Added settings as a main activity to launch,0,1,0,1
r1525067,Jimmy,29/09/2015,11:55:33,1,Lint fix,0,2,0,2
r1525056,Jimmy,29/09/2015,11:50:00,1,Added custom permission to receiver,0,1,0,1
r1525043,Jimmy,29/09/2015,11:36:56,1,Lint fix,0,1,0,1
r1525032,Jimmy,29/09/2015,11:31:00,1,Added r2g permission,0,1,0,1
r1525020,Jimmy,29/09/2015,11:22:15,1,Added R2G config,1,12,1,14
r1524333,Jimmy,28/09/2015,11:47:57,1,Modified broadcast receiver for R2G,1,5,0,6
r1523786,Thomas,25/09/2015,14:35:53,1,PHONE-1163: Phone 2.0 - Music player in lock screen view has a cut off.,0,4,0,4
r1523768,Jimmy,25/09/2015,14:15:11,1,Initial addition for R2G classes,3,0,0,3
r1523643,Jimmy,25/09/2015,11:35:42,1,CR023: Phone globe for the mobile client splash screen,13,1,0,14
r1521833,Thomas,22/09/2015,14:23:03,1,Fixed libpng warning: iCCP: Not recognizing known sRGB profile that has been edited,0,7,0,7
r1520473,Jimmy,18/09/2015,14:08:32,1,Auth failure error codes,1,0,0,1
r1520031,Thomas,17/09/2015,15:02:43,1,PHONE-1388: Att Locker - AMZ Fire - Share by Me - Manage Share: Crashes Locker,0,1,0,1
r1519600,Thomas,16/09/2015,15:05:40,1,Removed &amp;#160;,0,1,0,1
r1519555,Thomas,16/09/2015,14:19:18,1,PHONE-1391: Phone 2.0 - unexpected notification while downloading on low battery.,0,6,0,6
r1519330,Jimmy,16/09/2015,08:42:42,1,PHONE-1318,0,1,0,1
r1517160,/OU=Domain Control Validated/CN=svn.company.net,10/09/2015,17:34:36,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1516858,Jimmy,10/09/2015,11:03:36,1,PHONE-1318,0,1,0,1
r1516801,Jimmy,10/09/2015,09:49:48,1,Seperated strings for shares from main strings files,2,2,0,4
r1516395,/OU=Domain Control Validated/CN=svn.company.net,09/09/2015,15:10:46,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1516364,Jimmy,09/09/2015,14:45:52,1,Remove report abusive content,0,1,0,1
r1516286,/OU=Domain Control Validated/CN=svn.company.net,09/09/2015,13:23:06,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1516221,Thomas,09/09/2015,11:37:11,2,"PHONE-1227: ATT Android|| Observed ""File too large to upload"" popup while taking the picture.",0,1,0,1
r1516206,Thomas,09/09/2015,11:18:13,1,PHONE-1316: ATT Android || Available offline icon is hardly visible in documents screen,0,6,0,6
r1516182,Thomas,09/09/2015,10:57:24,1,PHONE-1125: ATT Android || Available offline is displaying only when we select min 2 files. That to this feature is integrated only in docs and no where else,0,9,0,9
r1516140,Thomas,09/09/2015,09:54:23,1,Added back empty sliding_menu_header,0,1,0,1
r1516124,Jimmy,09/09/2015,09:35:37,1,String updates,0,1,0,1
r1516078,Jimmy,09/09/2015,08:36:04,1,String updates,0,1,0,1
r1515856,Thomas,08/09/2015,16:52:10,1,Update icons,0,12,0,12
r1515669,Thomas,08/09/2015,13:00:44,1,PHONE-1259: Phone Customer Reported Issue - App Icon is square rather than rounded corners,0,12,0,12
r1515598,Thomas,08/09/2015,11:12:36,1,Increased swipe time to 5 sec,0,1,0,1
r1515597,Thomas,08/09/2015,11:09:10,1,PHONE-1277: Phone Locker - Header Cut Off in Android Galaxy Tablet,0,1,0,1
r1515550,Thomas,08/09/2015,09:46:51,1,PHONE-1275: Android Galaxy Tablet - Image Carousel,0,1,0,1
r1515469,Freddie,07/09/2015,18:02:26,2,"PHONE-1174: Phone 2.0 - When both Upload and Download are in progress, if we cancel any one(either download or upload), both are getting cancelled.",0,1,0,1
r1515192,Freddie,07/09/2015,08:40:42,2,PHONE-1245: Phone || Files Upload is not resuming once connection is lost and regained,0,2,0,2
r1514885,/OU=Domain Control Validated/CN=svn.company.net,04/09/2015,15:28:55,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1514854,Thomas,04/09/2015,14:45:09,1,Fixed lint issue,0,1,0,1
r1514848,Thomas,04/09/2015,14:35:07,1,PHONE-1246: CR018 Carousel,5,18,1,24
r1514769,Thomas,04/09/2015,12:36:03,1,PHONE-1116: Phone 2.0 - Push notification icon Intermittently appear - Nexus 5.,5,10,0,15
r1514659,Thomas,04/09/2015,10:33:11,1,PHONE-1152: Phone 2.0 - Pop up message is displayed as creating music album when we are trying to creating photo album,0,1,0,1
r1514632,Thomas,04/09/2015,09:24:09,1,PHONE-1158: ATT Android || Inconsistence of 'Remove from Playlist' from contextual menu to title,0,1,0,1
r1514422,Thomas,03/09/2015,16:43:11,1,PHONE-1109: Phone 2.0 - Empty Pop up message is displayed when we tap on continue on Download paused Roaming detected screen.,0,1,0,1
r1514088,Freddie,03/09/2015,10:11:46,2,PHONE-1018: Phone || Files download is not resuming once connection is lost and regained,0,1,0,1
r1511865,Freddie,28/08/2015,09:28:08,2,PHONE-1018: Phone || Files download is not resuming once connection is lost and regained,0,1,0,1
r1511531,murari.krishnan,27/08/2015,15:18:55,1,fixed PHONE-1104 No-Videos message is displayed under photos tab.,0,1,0,1
r1511263,Thomas,27/08/2015,09:07:17,1,Removed unused -keepclassmembers,0,1,0,1
r1510630,Freddie,26/08/2015,10:51:19,2,ANDINTL-3702: 15.2-PC-login pop up is displayed when device is kept idle for some time,0,1,0,1
r1510560,Thomas,26/08/2015,09:41:24,1,Merging 15.2 changes,0,3,0,3
r1510491,Freddie,26/08/2015,08:12:56,2,PHONE-1018: Phone || Files downloading is not resuming once the airplane mode is turned ON and OFF,0,1,0,1
r1510251,Nicky,25/08/2015,17:19:59,5,PHONE-1014,0,3,0,3
r1510206,Thomas,25/08/2015,16:28:54,1,PHONE-1039: Phone 2.0 - Push notification icon is not matching on all devices.,8,0,0,8
r1509790,Thomas,25/08/2015,09:34:01,1,PHONE-995: ATT Android || Keypad is in visible state when we click on hamburger menu from the help screen search field,0,2,0,2
r1509257,/OU=Domain Control Validated/CN=svn.company.net,24/08/2015,11:14:13,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1509222,Jimmy,24/08/2015,10:37:35,1,PHONE-363,5,0,0,5
r1508948,Jimmy,21/08/2015,16:50:38,1,PHONE-434,0,1,0,1
r1508779,Jimmy,21/08/2015,14:07:58,1,PHONE-996,0,2,0,2
r1508685,Jimmy,21/08/2015,12:12:20,1,PHONE-996,0,1,0,1
r1508629,Jimmy,21/08/2015,11:16:41,1,PHONE-854 - Changed sender ID,0,1,0,1
r1508188,/OU=Domain Control Validated/CN=svn.company.net,20/08/2015,15:06:07,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1508164,Jimmy,20/08/2015,14:41:27,1,TypographyDashes fix,0,1,0,1
r1508161,Jimmy,20/08/2015,14:35:13,1,TypographyDashes fix,0,1,0,1
r1508151,Jimmy,20/08/2015,14:28:08,1,String updates,0,1,0,1
r1508145,Jimmy,20/08/2015,14:19:26,1,PHONE-908,3,1,0,4
r1508044,Thomas,20/08/2015,12:05:30,1,PHONE-812: CLONE - Phone - Handset - Phone Icon on What to Back up screen,0,3,0,3
r1508020,Thomas,20/08/2015,11:49:01,1,"PHONE-434: PHONE 2.0 - Slide menu title is ""Personal Cloud""",0,1,0,1
r1507926,Thomas,20/08/2015,09:42:08,1,"PHONE-726: Phone 2.0 - Message displayed on tapping of ""Locker Backup Paused Roaming detected..."" notification is not as expected.",0,1,0,1
r1507915,Thomas,20/08/2015,09:32:45,1,"PHONE-916: Phone 2.0 - ""Get Start"" Button string is not clear - HTC desire 610.",0,2,0,2
r1507705,Thomas,19/08/2015,16:54:40,1,PHONE-957: Phone - About Screen Copyright,0,2,0,2
r1507637,Thomas,19/08/2015,15:30:13,1,PHONE-879: Phone 2.0 - First Time User Login Flow Every Time,0,1,0,1
r1507417,Thomas,19/08/2015,10:47:31,1,Fixed: libpng warning: iCCP: Not recognizing known sRGB profile that has been edited,0,6,0,6
r1507415,Thomas,19/08/2015,10:46:16,2,Merged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with,0,1,0,1
r1507409,Thomas,19/08/2015,10:36:15,2,Merged: JIODINT-1329 --Push Not Received After and hour even though the device is registered with,4,4,0,8
r1506528,Thomas,17/08/2015,16:22:32,1,"PHONE-725: Phone 2.0 - ""Upload paused. Roaming detected."" Notification is not displayed on device notification tray when we download any content when user is in roaming data and WiFi is off.",0,3,0,3
r1506431,Thomas,17/08/2015,13:36:03,1,PHONE-807: Phone 2.0 - Repeat option in the Music Player is not working as expected,7,2,0,9
r1505785,Jimmy,14/08/2015,13:54:38,1,PHONE-879 - Added internal preference flag,0,3,0,3
r1505761,Jimmy,14/08/2015,13:17:45,1,PHONE-591,0,2,0,2
r1505731,Jimmy,14/08/2015,12:44:07,1,Modified code,0,6,0,6
r1505616,Jimmy,14/08/2015,09:38:08,1,Normalising code,0,9,0,9
r1505141,/OU=Domain Control Validated/CN=svn.company.net,13/08/2015,14:59:27,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1505095,Nicky,13/08/2015,14:11:18,2,PHONE-536,0,1,0,1
r1505036,/OU=Domain Control Validated/CN=svn.company.net,13/08/2015,13:24:34,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1505021,Jimmy,13/08/2015,12:56:59,1,String update,0,1,0,1
r1504972,/OU=Domain Control Validated/CN=svn.company.net,13/08/2015,11:45:19,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1504930,Jimmy,13/08/2015,11:11:29,1,PHONE-549,0,2,0,2
r1504897,Jimmy,13/08/2015,10:34:01,1,Removed notification icons.,0,0,6,6
r1504896,Jimmy,13/08/2015,10:33:33,1,Modified,0,1,0,1
r1504892,Jimmy,13/08/2015,10:21:05,1,String updated,0,1,0,1
r1504678,Jimmy,12/08/2015,17:59:37,1,Removed temporary check for status,0,1,0,1
r1504521,Jimmy,12/08/2015,15:08:00,1,PHONE-799 - Modified the layout of the button to wrap the text,0,1,0,1
r1504447,Jimmy,12/08/2015,13:23:37,1,LINT FIX,0,1,0,1
r1504404,Jimmy,12/08/2015,12:19:41,1,PHONE-295,1,1,0,2
r1504391,Jimmy,12/08/2015,12:08:41,1,Added migration activity,0,2,0,2
r1504316,Jimmy,12/08/2015,10:29:11,2,PHONE-455 - Merged from trunk,2,4,0,6
r1504239,Jimmy,12/08/2015,08:26:25,1,Added backup status,0,1,0,1
r1503167,Jimmy,10/08/2015,14:30:21,1,Added strings as translated for phraseapp,0,1,0,1
r1503160,Jimmy,10/08/2015,14:25:22,1,Added strings as translated for phraseapp,0,1,0,1
r1503152,Jimmy,10/08/2015,14:06:28,1,Added strings as translated for phraseapp,0,1,0,1
r1503149,Jimmy,10/08/2015,14:01:26,1,Added strings as translated for phraseapp,0,1,0,1
r1502449,Jimmy,07/08/2015,13:55:01,1,Removed unused import,0,1,0,1
r1502425,Jimmy,07/08/2015,13:29:04,1,PHONE-434 Changed Slide Menu changed to Phone Locker,0,1,0,1
r1502023,Thomas,06/08/2015,16:44:44,1,Remove sliding menu header,0,1,0,1
r1501699,/OU=Domain Control Validated/CN=svn.company.net,06/08/2015,10:00:39,1,[gradle-release] prepare for next development iteration,0,1,0,1
r1501400,Thomas,05/08/2015,15:58:41,1,"Share optimisation, don't do thumbnails request for non media items",0,2,0,2
r1501345,Thomas,05/08/2015,14:43:58,1,PHONE-551: Phone 2.0 - Push notification is starting download of the shared file,0,1,0,1
r1501337,Jimmy,05/08/2015,14:30:09,1,PHONE-681,0,2,0,2
r1501323,Jimmy,05/08/2015,14:16:44,1,PHONE-549 - Suppressed view when not data is available,0,1,0,1
r1501134,Thomas,05/08/2015,10:36:03,1,Exclude non en and ldpi resources from client-att client,0,1,0,1
r1500801,Thomas,04/08/2015,16:34:43,1,Removed unused contacts related classes,0,3,19,22
r1500768,Thomas,04/08/2015,16:00:51,1,Removed unused BackupNowActivity,0,5,2,7
r1500697,Thomas,04/08/2015,14:47:30,1,PHONE-651: Phone 2.0 - Add files pop up is not displayed as expected when we try to add more files to share,0,1,0,1
